match_id,season,innings,over,phase_int,over_num,cum_runs,cum_wickets,current_rpo,required_rpo,rate_differential,balls_remaining,is_chasing,pp_runs,pp_wickets,last3_rpo,last3_wickets,boundary_rate,venue_factor,venue_avg_score,is_chinnaswamy,is_wankhede,win_prob_pre,sub_player_type,sub_auction_val,sub_form,has_impact_rule,season_year,wickets_remaining,optimal_sub,win_prob
1,2020,1,1,0,1,14,2,14.0,14.0,0.0,114,0,50,4,12.0,2,0.286,1.1,178,0,0,0.98,0,0.0,0.5,0,2020,8,0,0.98
1,2020,1,2,0,2,24,2,12.0,12.0,0.0,108,0,50,4,11.077,2,0.308,1.1,178,0,0,0.9694,0,0.0,0.5,0,2020,8,0,0.9693799019988838
1,2020,1,3,0,3,34,3,11.333,11.333,0.0,102,0,50,4,10.737,3,0.316,1.1,178,0,0,0.9353,0,0.0,0.5,0,2020,7,0,0.9353339118729745
1,2020,1,4,0,4,39,3,9.75,9.75,0.0,96,0,50,4,8.333,1,0.222,1.1,178,0,0,0.712,0,0.0,0.5,0,2020,7,0,0.7119759194127935
1,2020,1,5,0,5,45,4,9.0,9.0,0.0,90,0,50,4,7.0,2,0.167,1.1,178,0,0,0.5125,0,0.0,0.5,0,2020,6,0,0.51249739648421
1,2020,1,6,1,6,50,4,8.333,8.333,0.0,84,0,50,4,5.333,1,0.056,1.1,178,0,0,0.33,0,0.0,0.5,0,2020,6,0,0.32996721713351546
1,2020,1,7,1,7,67,5,9.571,9.571,0.0,78,0,50,4,9.333,2,0.222,1.1,178,0,0,0.6384,0,0.0,0.5,0,2020,5,0,0.6384334744455719
1,2020,1,8,1,8,73,5,9.125,9.125,0.0,72,0,50,4,8.842,1,0.158,1.1,178,0,0,0.5119,0,0.0,0.5,0,2020,5,0,0.5118727677562523
1,2020,1,9,1,9,84,5,9.333,9.333,0.0,66,0,50,4,10.737,1,0.211,1.1,178,0,0,0.5552,0,0.0,0.5,0,2020,5,0,0.5551908628231796
1,2020,1,10,1,10,110,5,11.0,11.0,0.0,60,0,50,4,12.286,0,0.238,1.1,178,0,0,0.8727,0,0.0,0.5,0,2020,5,0,0.8726949619246281
1,2020,1,11,1,11,118,5,10.727,10.727,0.0,54,0,50,4,13.5,0,0.3,1.1,178,0,0,0.8299,0,0.0,0.5,0,2020,5,0,0.8299114747646732
1,2020,1,12,1,12,124,5,10.333,10.333,0.0,48,0,50,4,12.0,0,0.3,1.1,178,0,0,0.7543,0,0.0,0.5,0,2020,5,0,0.754297735118518
1,2020,1,13,1,13,138,5,10.615,10.615,0.0,42,0,50,4,9.333,0,0.278,1.1,178,0,0,0.7961,0,0.0,0.5,0,2020,5,0,0.796072070338821
1,2020,1,14,1,14,155,5,11.071,11.071,0.0,36,0,50,4,12.333,0,0.444,1.1,178,0,0,0.8555,0,0.0,0.5,0,2020,5,0,0.8555203766305456
1,2020,1,15,2,15,163,5,10.867,10.867,0.0,30,0,50,4,13.0,0,0.444,1.1,178,0,0,0.8196,0,0.0,0.5,0,2020,5,0,0.8195546813832837
1,2020,1,16,2,16,180,5,11.25,11.25,0.0,24,0,50,4,14.0,0,0.444,1.1,178,0,0,0.8641,0,0.0,0.5,0,2020,5,0,0.8641271029909056
1,2020,1,17,2,17,200,5,11.765,11.765,0.0,18,0,50,4,15.0,0,0.444,1.1,178,0,0,0.9102,0,0.0,0.5,0,2020,5,0,0.9102079354539616
1,2020,1,18,2,18,206,5,11.444,11.444,0.0,12,0,50,4,14.333,0,0.444,1.1,178,0,0,0.8737,0,0.0,0.5,0,2020,5,0,0.8736792366095029
1,2020,1,19,2,19,219,5,11.526,11.526,0.0,6,0,50,4,13.0,0,0.389,1.1,178,0,0,0.8764,0,0.0,0.5,0,2020,5,0,0.8764189883958813
